CondNum	Version	Item	Condition	Scalar	Subject	Are	Target	Period
2			all_UI	All	trout	are	fish	.
5			some_F	Some	trout	are	flowers	.
6			all_F	All	trout	are	dogs	.
1		134	some_UI	Some	tulips	are	flowers	.
2			all_UI	All	tulips	are	flowers	.
5			some_F	Some	tulips	are	fruit	.
6			all_F	All	tulips	are	fish	.
1		135	some_UI	Some	tuna	are	fish	.
2			all_UI	All	tuna	are	fish	.
5			some_F	Some	tuna	are	flowers	.
6			all_F	All	tuna	are	dogs	.
1		136	some_UI	Some	turtles	are	reptiles	.
2			all_UI	All	turtles	are	reptiles	.
5			some_F	Some	turtles	are	weapons	.
6			all_F	All	turtles	are	trees	.
1		137	some_UI	Some	Volvos	are	cars	.
2			all_UI	All	Volvos	are	cars	.
5			some_F	Some	Volvos	are	dogs	.
6			all_F	All	Volvos	are	birds	.
1		138	some_UI	Some	VWs	are	cars	.
2			all_UI	All	VWs	are	cars	.
5			some_F	Some	VWs	are	dogs	.
6			all_F	All	VWs	are	birds	.
1		139	some_UI	Some	wasps	are	insects	.
2			all_UI	All	wasps	are	insects	.
5			some_F	Some	wasps	are	tools	.
6			all_F	All	wasps	are	fruit	.
1		140	some_UI	Some	willows	are	trees	.
2			all_UI	All	willows	are	trees	.
5			some_F	Some	willows	are	reptiles	.
6			all_F	All	willows	are	mammals	.
1		141	some_UI	Some	wirecutters	are	tools	.
2			all_UI	All	wirecutters	are	tools	.
5			some_F	Some	wirecutters	are	tools	.
6			all_F	All	wirecutters	are	insects	.
1		142	some_UI	Some	wrenches	are	tools	.
2			all_UI	All	wrenches	are	tools	.
5			some_F	Some	wrenches	are	tools	.
6			all_F	All	wrenches	are	insects	.
1		143	some_UI	Some	zebras	are	mammals	.
2			all_UI	All	zebras	are	mammals	.
5			some_F	Some	zebras	are	trees	.
6			all_F	All	zebras	are	insects	.
